"col_index","col_name"
1,"Covidence #"
2,"Study ID"
3,"Title...3"
4,"Reviewer Name"
5,"Study_ID"
6,"Title...6"
7,"Study_country"
8,"Publication_year"
9,"Notes"
10,"Study_aim"
11,"Study_design"
12,"Start_date_study"
13,"End_date_study"
14,"Study_setting"
15,"Healthcare_facility_type"
16,"General_notes_methods"
17,"Population_admitting_ward"
18,"Patients_total-number_included"
19,"Isolates_total-number_included"
20,"Study_population_description_additional"
21,"BSI_suspected-source"
22,"Infection_origin"
23,"Bacterial-isolate_type"
24,"AMR_mechanism_1"
25,"AMR_mechanism_2"
26,"General notes_AMR"
27,"Outcome_measure_repoted"
28,"Comparative_Model(s)_Description"
29,"Proxy_indicator_type-analysis"
30,"Multivariate analysis_specification"
31,"Comparison_population"
32,"General notes - if any...48"
33,"resistant_group definition_1"
34,"resistant_group variable_1"
35,"resistant_group mean_1"
36,"resistant_group SD_1"
37,"resistant_group median_1"
38,"resistant_group IQR_1"
39,"resistant_group p-value_1"
40,"resistant_group notes_1"
41,"susceptible_comparator_group definition_1"
42,"susceptible_comparator_group variable_1"
43,"susceptible_comparator_group mean_1"
44,"susceptible_comparator_group SD_1"
45,"susceptible_comparator_group median_1"
46,"susceptible_comparator_group IQR_1"
47,"susceptible_comparator_group notes_1"
48,"total definition_1"
49,"total variable_1"
50,"total mean_1"
51,"total SD_1"
52,"total median_1"
53,"total IQR_1"
54,"total notes_1"
55,"resistant_group definition_2"
56,"resistant_group variable_2"
57,"resistant_group mean_2"
58,"resistant_group SD_2"
59,"resistant_group median_2"
60,"resistant_group IQR_2"
61,"resistant_group p-value_2"
62,"resistant_group notes_2"
63,"susceptible_comparator_group definition_2"
64,"susceptible_comparator_group variable_2"
65,"susceptible_comparator_group mean_2"
66,"susceptible_comparator_group SD_2"
67,"susceptible_comparator_group median_2"
68,"susceptible_comparator_group IQR_2"
69,"susceptible_comparator_group notes_2"
70,"total definition_2"
71,"total variable_2"
72,"total mean_2"
73,"total SD_2"
74,"total median_2"
75,"total IQR_2"
76,"total notes_2"
77,"resistant_group definition_3"
78,"resistant_group variable_3"
79,"resistant_group mean_3"
80,"resistant_group SD_3"
81,"resistant_group median_3"
82,"resistant_group IQR_3"
83,"resistant_group p-value_3"
84,"resistant_group notes_3"
85,"susceptible_comparator_group definition_3"
86,"susceptible_comparator_group variable_3"
87,"susceptible_comparator_group mean_3"
88,"susceptible_comparator_group SD_3"
89,"susceptible_comparator_group median_3"
90,"susceptible_comparator_group IQR_3"
91,"susceptible_comparator_group notes_3"
92,"total definition_3"
93,"total variable_3"
94,"total mean_3"
95,"total SD_3"
96,"total median_3"
97,"total IQR_3"
98,"resistant_group definition_4"
99,"resistant_group variable_4"
100,"resistant_group mean_4"
101,"resistant_group SD_4"
102,"resistant_group median_4"
103,"resistant_group IQR_4"
104,"resistant_group p-value_4"
105,"resistant_group note_4"
106,"susceptible_comparator_group definition_4"
107,"susceptible_comparator_group variable_4"
108,"susceptible_comparator_group mean_4"
109,"susceptible_comparator_group SD_4"
110,"susceptible_comparator_group median_4"
111,"susceptible_comparator_group IQR_4"
112,"susceptible_comparator_group note_4"
113,"total definition_4"
114,"total variable_4"
115,"total mean_4"
116,"total SD_4"
117,"total median_4"
118,"total IQR_4"
119,"total note_4"
120,"resistant_group definition_5"
121,"resistant_group variable_5"
122,"resistant_group mean_5"
123,"resistant_group SD_5"
124,"resistant_group median_5"
125,"resistant_group IQR_5"
126,"resistant_group p-value_5"
127,"resistant_group note_5"
128,"susceptible_comparator_group definition_5"
129,"susceptible_comparator_group variable_5"
130,"susceptible_comparator_group mean_5"
131,"susceptible_comparator_group SD_5"
132,"susceptible_comparator_group median_5"
133,"susceptible_comparator_group IQR_5"
134,"total definition_5"
135,"total variable_5"
136,"total mean_5"
137,"total SD_5"
138,"total median_5"
139,"total IQR_5"
140,"total note_5"
141,"resistant_group definition_6"
142,"resistant_group variable_6"
143,"resistant_group mean_6"
144,"resistant_group SD_6"
145,"resistant_group median_6"
146,"resistant_group IQR_6"
147,"resistant_group p-value_6"
148,"resistant_group notes_6"
149,"susceptible_comparator_group definition_6"
150,"susceptible_comparator_group variable_6"
151,"susceptible_comparator_group mean_6"
152,"susceptible_comparator_group SD_6"
153,"susceptible_comparator_group median_6"
154,"susceptible_comparator_group IQR_6"
155,"susceptible_comparator_group notes_6"
156,"total definition_6"
157,"total variable_6"
158,"total mean_6"
159,"total SD_6"
160,"resistant_group definition_7"
161,"resistant_group variable_7"
162,"resistant_group mean_7"
163,"resistant_group SD_7"
164,"resistant_group median_7"
165,"resistant_group IQR_7"
166,"resistant_group p-value_7"
167,"resistant_group notes_7"
168,"susceptible_comparator_group definition_7"
169,"susceptible_comparator_group variable_7"
170,"susceptible_comparator_group mean_7"
171,"susceptible_comparator_group SD_7"
172,"susceptible_comparator_group median_7"
173,"susceptible_comparator_group IQR_7"
174,"susceptible_comparator_group notes_7"
175,"total definition_7"
176,"total variable_7"
177,"total median_7"
178,"total IQR_7"
179,"resistant_group definition_8"
180,"resistant_group variable_8"
181,"resistant_group mean_8"
182,"resistant_group SD_8"
183,"resistant_group median_8"
184,"resistant_group IQR_8"
185,"resistant_group p-value_8"
186,"resistant_group notes_8"
187,"susceptible_comparator_group definition_8"
188,"susceptible_comparator_group variable_8"
189,"susceptible_comparator_group mean_8"
190,"susceptible_comparator_group SD_8"
191,"susceptible_comparator_group median_8"
192,"susceptible_comparator_group IQR_8"
193,"total definition_8"
194,"total variable_8"
195,"total mean_8"
196,"total SD_8"
197,"resistant_group definition_9"
198,"resistant_group variable_9"
199,"resistant_group mean_9"
200,"resistant_group SD_9"
201,"resistant_group median_9"
202,"resistant_group IQR_9"
203,"resistant_group p-value_9"
204,"resistant_group notes_9"
205,"susceptible_comparator_group definition_9"
206,"susceptible_comparator_group variable_9"
207,"susceptible_comparator_group mean_9"
208,"susceptible_comparator_group SD_9"
209,"susceptible_comparator_group median_9"
210,"susceptible_comparator_group IQR_9"
211,"susceptible_comparator_group notes_9"
212,"total definition_9"
213,"total variable_9"
214,"total median_9"
215,"total IQR_9"
216,"resistant_group definition_10"
217,"resistant_group variable_10"
218,"resistant_group mean_10"
219,"resistant_group SD_10"
220,"resistant_group median_10"
221,"resistant_group IQR_10"
222,"resistant_group p-value_10"
223,"resistant_group notes_10"
224,"susceptible_comparator_group definition_10"
225,"susceptible_comparator_group variable_10"
226,"susceptible_comparator_group mean_10"
227,"susceptible_comparator_group SD_10"
228,"susceptible_comparator_group median_10"
229,"susceptible_comparator_group IQR_10"
230,"susceptible_comparator_group notes_10"
231,"total definition_10"
232,"total variable_10"
233,"total median_10"
234,"total IQR_10"
235,"resistant_group definition_11"
236,"resistant_group variable_11"
237,"resistant_group mean_11"
238,"resistant_group SD_11"
239,"resistant_group median_11"
240,"resistant_group IQR_11"
241,"resistant_group p-value_11"
242,"resistant_group notes_11"
243,"susceptible_comparator_group definition_11"
244,"susceptible_comparator_group variable_11"
245,"susceptible_comparator_group mean_11"
246,"susceptible_comparator_group SD_11"
247,"susceptible_comparator_group median_11"
248,"susceptible_comparator_group IQR_11"
249,"total definition_11"
250,"total variable_11"
251,"total mean_11"
252,"total SD_11"
253,"resistant_group definition_12"
254,"resistant_group variable_12"
255,"resistant_group mean_12"
256,"resistant_group SD_12"
257,"resistant_group median_12"
258,"resistant_group IQR_12"
259,"resistant_group p-value_12"
260,"resistant_group notes_12"
261,"susceptible_comparator_group definition_12"
262,"susceptible_comparator_group variable_12"
263,"susceptible_comparator_group mean_12"
264,"susceptible_comparator_group SD_12"
265,"susceptible_comparator_group median_12"
266,"susceptible_comparator_group IQR_12"
267,"total definition_12"
268,"total variable_12"
269,"total median_12"
270,"total IQR_12"
271,"resistant_group definition_13"
272,"resistant_group variable_13"
273,"resistant_group mean_13"
274,"resistant_group SD_13"
275,"resistant_group median_13"
276,"resistant_group IQR_13"
277,"resistant_group p-value_13"
278,"resistant_group notes_13"
279,"susceptible_comparator_group definition_13"
280,"susceptible_comparator_group variable_13"
281,"susceptible_comparator_group mean_13"
282,"susceptible_comparator_group SD_13"
283,"susceptible_comparator_group median_13"
284,"susceptible_comparator_group IQR_13"
285,"total definition_13"
286,"total variable_13"
287,"total median_13"
288,"total IQR_13"
289,"resistant_group definition_14"
290,"resistant_group variable_14"
291,"resistant_group mean_14"
292,"resistant_group SD_14"
293,"resistant_group median_14"
294,"resistant_group IQR_14"
295,"resistant_group p-value_14"
296,"resistant_group notes_14"
297,"susceptible_comparator_group definition_14"
298,"susceptible_comparator_group variable_14"
299,"susceptible_comparator_group mean_14"
300,"susceptible_comparator_group SD_14"
301,"susceptible_comparator_group median_14"
302,"susceptible_comparator_group IQR_14"
303,"total definition_14"
304,"total variable_14"
305,"total median_14"
306,"total IQR_14"
307,"resistant_group definition_15"
308,"resistant_group variable_15"
309,"resistant_group mean_15"
310,"resistant_group SD_15"
311,"resistant_group median_15"
312,"resistant_group IQR_15"
313,"resistant_group p-value_15"
314,"resistant_group notes_15"
315,"susceptible_comparator_group definition_15"
316,"susceptible_comparator_group variable_15"
317,"susceptible_comparator_group mean_15"
318,"susceptible_comparator_group SD_15"
319,"susceptible_comparator_group median_15"
320,"susceptible_comparator_group IQR_15"
